    Fid,Gender,Age,AttendanceRate,GPA,Major,University,Studentname,Institution_Type,Year
10.42.0.211-103.235.46.212-39080-443-6,Male,22,55.29,2.76,Engineering,"Harvard University, USA",Jane Blackwell,Public,2023
10.42.0.211-54.230.36.66-58864-443-6,Female,19,84.95,2.69,Business,"Stanford University, USA",Blanche Demby,Private,2023
172.217.11.14-10.42.0.151-443-46014-6,Male,19,59.46,2.48,Engineering,"Stanford University, USA",Julie Allen,Private,2023
172.217.12.142-10.42.0.42-443-46523-6,Female,19,94.08,3.02,Education,"Harvard University, USA",Lori Montague,Private,2023
10.42.0.211-31.13.71.3-54495-443-6,Male,23,98.07,3.65,Business,"Harvard University, USA",David Gibson,Public,2023
10.42.0.151-10.42.0.1-15331-53-17,Male,19,73.27,2.56,Arts,"Harvard University, USA",Joseph Sherman,Private,2023
10.42.0.211-23.219.23.167-36347-80-6,Male,20,93.95,3.88,Education,"University of Oxford, UK",Ted Blackwell,Private,2023
216.58.219.227-10.42.0.151-443-34288-6,Female,18,50.26,3.75,Business,"Stanford University, USA",Jared Howard,Private,2023
10.42.0.211-10.42.0.1-21120-53-17,Female,24,91,2.32,Arts,"Harvard University, USA",Charles Mccall,Private,2023
10.42.0.151-10.42.0.1-17040-53-17,Female,21,61.43,3.57,Engineering,"Stanford University, USA",Lawrence Johnson,Private,2023
10.42.0.211-10.42.0.1-2943-53-17,Female,19,95.44,3.15,Business,"University of Cambridge, UK",Michael Gamble,Private,2023
220.243.219.55-10.42.0.42-80-40093-6,Male,22,50.06,3.13,Arts,"Harvard University, USA",Lucy Lea,Private,2023
10.42.0.211-104.193.88.109-38510-80-6,Female,19,77.81,2.78,Engineering,"Harvard University, USA",Candy Camacho,Private,2023
10.42.0.151-108.168.176.199-57691-5222-6,Male,22,87.83,3,Education,"Stanford University, USA",David Nguyen,Private,2023
180.149.136.194-10.42.0.151-443-33755-6,Male,20,62.93,2.79,Education,"Harvard University, USA",Naomi Wallace,Private,2023
10.42.0.151-36.110.213.49-47170-443-6,Female,22,59.66,3.08,Education,"Massachusetts Institute of Technology (MIT), USA",Maragaret Ellis,Private,2023
10.42.0.42-123.125.115.164-42103-443-6,Female,21,54.2,3.26,Education,"Harvard University, USA",Andrew Jimenes,Private,2023
10.42.0.211-23.208.168.108-35587-80-6,Female,18,66.32,3.35,Science,"Harvard University, USA",Rebekah Tiger,Private,2023
172.217.10.78-10.42.0.211-443-49136-6,Female,22,77.99,3.06,Business,"Stanford University, USA",Henry Lebowitz,Public,2023
10.42.0.151-31.13.80.37-40986-443-6,Female,22,55.79,3.44,Business,"Harvard University, USA",Rosa Perez,Private,2023
172.217.12.170-10.42.0.42-443-46006-6,Female,18,68.83,2.28,Science,"Harvard University, USA",John Greene,Private,2023
10.42.0.211-64.71.142.120-33206-443-6,Female,21,50.45,2.42,Arts,"Stanford University, USA",Michelle Mayhew,Private,2023
10.42.0.151-14.17.42.57-53099-80-6,Female,19,90.93,3.64,Arts,"Stanford University, USA",David Prunty,Public,2023
10.42.0.1-10.42.0.42-53-37181-17,Male,22,56.42,2.65,Education,"Harvard University, USA",Sheryl Godfrey,Private,2023
172.217.10.10-10.42.0.151-443-40017-6,Female,18,64.17,2.05,Engineering,"Stanford University, USA",Juan Martinez,Private,2023
10.42.0.211-77.234.44.199-47467-80-6,Female,20,50.92,2.31,Arts,"Harvard University, USA",Anna Bolton,Public,2023
220.243.219.55-10.42.0.211-80-54501-6,Male,18,71.61,2.45,Engineering,"Stanford University, USA",Lorraine Bolt,Private,2023
10.42.0.151-114.134.80.163-50927-80-6,Female,20,92.01,3.91,Business,"Harvard University, USA",Karen Silkenson,Public,2023
10.42.0.1-10.42.0.42-53-37517-17,Male,21,69.61,3.15,Engineering,"Harvard University, USA",Valerie Webb,Private,2023
10.42.0.42-63.251.88.56-37725-443-6,Male,19,58.97,3.87,Business,"Stanford University, USA",Carmen Blackburn,Private,2023
203.205.147.229-10.42.0.151-80-36648-6,Female,18,87.68,3.15,Science,"Harvard University, USA",Anna Whitfield,Private,2023
131.253.61.98-10.42.0.211-443-55152-6,Male,24,89.44,2.96,Science,"Harvard University, USA",Lynn Edmiston,Private,2023
172.217.10.3-10.42.0.151-443-50724-6,Male,24,58.69,2.63,Education,"Massachusetts Institute of Technology (MIT), USA",Nanci Sabatino,Private,2023
10.42.0.211-64.71.142.120-37154-443-6,Male,23,88.54,3.21,Arts,"University of Oxford, UK",Beverly Rash,Private,2023
172.217.10.3-10.42.0.151-443-48229-6,Male,22,97.36,2.28,Education,"Harvard University, USA",Felecia Windham,Public,2023
10.42.0.211-98.139.199.205-38844-443-6,Female,21,58.32,3.8,Business,"Harvard University, USA",Connie Turner,Private,2023
10.42.0.42-50.17.227.139-56867-443-6,Male,18,88.55,3.66,Education,"Harvard University, USA",Arthur Pranger,Private,2023
10.42.0.151-104.244.43.195-40371-443-6,Female,24,85.43,2.64,Engineering,"Massachusetts Institute of Technology (MIT), USA",William Seidman,Public,2023
10.42.0.211-120.55.89.238-38203-8977-6,Male,22,73.68,3.91,Business,"Massachusetts Institute of Technology (MIT), USA",Thomas Montgomery,Public,2023
172.217.9.225-10.42.0.151-443-45111-6,Male,24,52.9,3.65,Science,"Harvard University, USA",Ericka Griffis,Private,2023
10.42.0.151-103.7.30.118-57563-80-6,Male,18,53.73,3.33,Arts,"California Institute of Technology (Caltech), USA",Edna Kimbrough,Private,2023
172.217.6.227-10.42.0.211-443-60348-6,Male,20,92.62,2.24,Business,"Harvard University, USA",John Watts,Public,2023
10.42.0.151-103.235.46.211-45704-80-6,Female,18,99.51,2.96,Business,"Harvard University, USA",Lisa Blackwell,Private,2023
10.42.0.151-121.29.54.142-59446-80-6,Female,23,83.8,3.01,Engineering,"Harvard University, USA",David Pugh,Private,2023
172.217.12.142-10.42.0.42-443-42537-6,Male,18,72.3,2.47,Arts,"University of Oxford, UK",Austin Smith,Public,2023
10.42.0.151-69.28.57.178-39662-10086-6,Male,18,82.38,2.16,Science,"Harvard University, USA",Charles Hughes,Private,2023
172.217.6.234-10.42.0.151-443-46728-6,Female,23,79.72,3.55,Business,"Harvard University, USA",John Hendrickson,Private,2023
10.42.0.151-10.42.0.1-22844-53-17,Male,21,69.18,2.24,Business,"California Institute of Technology (Caltech), USA",Edwin Frantz,Private,2023
10.42.0.151-10.42.0.1-19919-53-17,Male,18,53.28,3.19,Engineering,"Imperial College London, UK",Michael Paquette,Private,2023
172.217.10.106-10.42.0.211-443-44045-6,Male,23,91.08,3.87,Education,"University of Oxford, UK",Barry Small,Public,2023
10.42.0.211-14.17.42.57-58155-80-6,Female,22,68.59,3.75,Science,"Harvard University, USA",Ana Moore,Private,2023
10.42.0.211-54.192.38.171-56444-443-6,Female,20,90.94,2.56,Arts,"Harvard University, USA",Karen Draper,Public,2023
10.42.0.151-111.221.77.173-43477-40010-17,Female,20,62.63,3.7,Business,"Stanford University, USA",Shelby Barnes,Public,2023
10.42.0.211-72.51.26.219-42280-80-6,Male,18,50.05,2,Business,"Stanford University, USA",John Tackett,Private,2023
10.42.0.151-52.84.0.74-56783-443-6,Male,21,57.95,2.04,Science,"Harvard University, USA",Rhonda Adam,Private,2023
172.217.10.67-10.42.0.151-443-43431-6,Female,21,73.43,3.21,Education,"University of Oxford, UK",Charles Garrett,Private,2023
220.243.225.102-10.42.0.211-80-50728-6,Female,22,97.22,2.73,Business,"Harvard University, USA",Dawn Diaz,Private,2023
10.42.0.211-23.21.95.195-52288-443-6,Female,18,55.11,2.77,Science,"Massachusetts Institute of Technology (MIT), USA",Lela Burns,Public,2023
10.42.0.211-64.71.142.124-44198-443-6,Female,20,92.71,3.13,Engineering,"University of Oxford, UK",Charles Murillo,Private,2023
172.217.12.174-10.42.0.211-443-57656-6,Male,21,76.35,2.38,Education,"Harvard University, USA",Bonnie Labree,Private,2023
182.22.65.139-10.42.0.42-443-40644-6,Female,18,91.3,2.42,Arts,"Harvard University, USA",Trinidad Eastman,Private,2023
10.42.0.211-104.254.66.16-58916-80-6,Male,24,64.92,2.97,Business,"Stanford University, USA",Angelica Walker,Private,2023
192.229.163.180-10.42.0.151-443-46530-6,Female,21,92,3.51,Science,"Stanford University, USA",Charles Martin,Public,2023
162.208.22.39-10.42.0.211-443-45090-6,Male,23,88.64,3.24,Engineering,"Stanford University, USA",Terry Herald,Private,2023
172.217.12.170-10.42.0.211-443-44074-6,Female,24,61.5,2.59,Arts,"Stanford University, USA",Lilian Davis,Private,2023
10.42.0.211-10.42.0.1-5457-53-17,Female,21,56.57,2.86,Science,"Stanford University, USA",Benjamin Stewart,Public,2023
10.42.0.211-23.23.129.231-43094-443-6,Female,20,93.4,2.34,Science,"Harvard University, USA",Manuel Amato,Public,2023
172.217.11.14-10.42.0.42-443-49893-17,Female,19,98.16,2.15,Arts,"Stanford University, USA",William Ashford,Private,2023
10.42.0.211-23.219.23.166-47665-80-6,Male,24,51.57,3.57,Engineering,"Stanford University, USA",Felix Davis,Private,2023
10.42.0.151-10.42.0.1-47799-53-17,Female,22,86.56,2.53,Engineering,"Harvard University, USA",Maggie Jess,Private,2023
10.42.0.211-123.125.29.138-51191-80-6,Male,22,95.48,2.36,Education,"Harvard University, USA",Dorothy Dominguez,Public,2023
10.42.0.211-66.102.255.44-42705-443-6,Male,20,92.87,3.38,Business,"University of Oxford, UK",Anthony Bell,Private,2023
10.42.0.151-31.13.80.5-52202-443-6,Male,21,98.23,3.24,Arts,"Stanford University, USA",Robert Douglas,Private,2023
172.217.10.110-10.42.0.42-443-44051-17,Male,18,88,3.27,Arts,"Massachusetts Institute of Technology (MIT), USA",Ivan Mcnelis,Private,2023
10.42.0.211-10.42.0.1-51009-53-17,Female,21,72.11,2.46,Arts,"Harvard University, USA",April Thomas,Private,2023
10.42.0.211-52.84.134.65-41272-443-6,Male,20,65.6,2.47,Engineering,"Harvard University, USA",Amy Baker,Private,2023
172.217.9.234-10.42.0.151-443-42383-6,Male,22,66.04,2.44,Business,"Harvard University, USA",Curt Anderson,Private,2023
220.181.7.190-10.42.0.151-443-39952-6,Male,21,86.22,2.35,Education,"Stanford University, USA",Kevin Dempsey,Private,2023
151.101.1.140-10.42.0.211-443-48066-6,Female,22,87.29,3.31,Science,"Stanford University, USA",Emilia Hermanson,Public,2023
10.42.0.211-64.71.142.110-45408-80-6,Female,24,60.02,3.7,Science,"Harvard University, USA",Billie Esser,Public,2023
8.43.72.67-10.42.0.151-443-53999-6,Female,18,93.41,3.45,Arts,"Harvard University, USA",Ronald Stello,Private,2023
10.42.0.211-10.42.0.1-1684-53-17,Female,24,85.75,3.58,Business,"Harvard University, USA",James Ortiz,Private,2023
151.101.1.140-10.42.0.42-443-39277-6,Male,22,78.14,2.81,Engineering,"University of Oxford, UK",Gerardo Moran,Public,2023
10.42.0.211-23.8.99.182-58543-443-6,Male,22,73.58,3.31,Business,"Stanford University, USA",Bryon Martin,Private,2023
172.217.12.206-10.42.0.211-443-35187-6,Female,19,77.16,2.71,Business,"Harvard University, USA",Randolph Villani,Private,2023
10.42.0.211-10.42.0.1-58605-53-17,Male,19,57.96,3.05,Engineering,"Stanford University, USA",Lee Patterson,Private,2023
172.217.10.42-10.42.0.211-443-60452-6,Male,24,60.19,2.96,Arts,"University of Cambridge, UK",Julia Corso,Private,2023
239.255.255.250-10.42.0.1-1900-47816-17,Male,23,54.56,2.35,Business,"Harvard University, USA",Ray Dudley,Private,2023
10.42.0.151-10.42.0.1-24360-53-17,Female,24,57.68,2.77,Science,"Stanford University, USA",Lenora Woo,Private,2023
10.42.0.211-69.147.82.60-33207-443-6,Female,19,72.68,3.93,Engineering,"Harvard University, USA",Benjamin Smith,Public,2023
202.77.129.218-10.42.0.211-80-60137-6,Male,22,76.52,2.5,Education,"Stanford University, USA",Elnora Douglas,Private,2023
10.42.0.211-50.19.223.117-47705-443-6,Female,20,50.89,2.27,Arts,"Harvard University, USA",Patricia Jackson,Public,2023
10.42.0.211-123.125.29.138-51941-80-6,Female,24,89.84,2.84,Engineering,"Harvard University, USA",Esther Bradley,Private,2023
10.42.0.211-54.192.37.49-51320-443-6,Female,22,64.71,3.58,Education,"Stanford University, USA",Thomas Driscoll,Private,2023
172.217.12.206-10.42.0.151-443-56364-6,Female,20,95.59,3.16,Education,"Harvard University, USA",Evelyn Reeves,Public,2023
209.10.120.26-10.42.0.211-80-54982-6,Female,20,98.38,3.36,Business,"Harvard University, USA",Salina Day,Private,2023
216.58.219.196-10.42.0.151-443-50803-6,Male,19,59.27,2.38,Business,"Massachusetts Institute of Technology (MIT), USA",Larry Rogers,Private,2023
10.42.0.211-23.219.23.167-35522-80-6,Female,24,73.1,3.24,Business,"University of Oxford, UK",Kevin Washington,Private,2023
172.217.11.42-10.42.0.42-443-41333-6,Male,21,50.06,2.65,Engineering,"Harvard University, USA",Marjorie Leatherwood,Private,2023
172.217.10.227-10.42.0.151-443-59491-6,Male,18,79.92,3.67,Engineering,"Harvard University, USA",Linsey Gannon,Private,2023
10.42.0.211-104.254.66.16-58949-80-6,Female,19,80.37,3.26,Arts,"Harvard University, USA",Teresa Johnson,Private,2023
10.42.0.211-10.42.0.1-57032-53-17,Male,19,62.38,2.4,Business,"Massachusetts Institute of Technology (MIT), USA",Isaac Jackson,Private,2023
10.42.0.1-10.42.0.42-53-50009-17,Male,21,77.92,2.13,Education,"Massachusetts Institute of Technology (MIT), USA",Virginia Curtis,Public,2023
10.42.0.211-87.240.165.91-49771-80-6,Male,18,61.28,2.09,Science,"Harvard University, USA",Jacob Wright,Private,2023
172.217.12.206-10.42.0.151-443-52194-6,Female,22,58.04,2.74,Arts,"California Institute of Technology (Caltech), USA",Edward Miller,Private,2023
10.42.0.42-54.173.220.111-56318-443-6,Female,23,82.58,2.53,Engineering,"Harvard University, USA",Arthur Nace,Private,2023
10.42.0.211-14.17.42.57-47262-80-6,Male,24,66.3,3.29,Arts,"Harvard University, USA",Victoria Duncan,Private,2023
222.73.28.96-10.42.0.211-80-32936-6,Female,23,79.51,3,Arts,"Harvard University, USA",Ruth Blackman,Private,2023
172.217.10.138-10.42.0.151-443-54066-6,Female,22,71.66,2.53,Arts,"University of Oxford, UK",Robert Murray,Private,2023
10.42.0.211-64.71.142.125-46361-443-6,Female,19,99.22,2.3,Arts,"Harvard University, USA",Maxine Meza,Private,2023
10.42.0.151-10.42.0.1-51128-53-17,Female,18,57.48,2.25,Science,"Harvard University, USA",Joanne Perritt,Public,2023
10.42.0.42-54.192.38.154-59374-443-6,Male,19,73.23,3.73,Business,"California Institute of Technology (Caltech), USA",Regina Washington,Private,2023
10.42.0.151-10.42.0.1-23592-53-17,Male,20,84.02,2.49,Education,"Imperial College London, UK",Bessie Freeman,Public,2023
10.42.0.151-104.244.43.131-57204-443-6,Female,19,69.78,3.3,Arts,"University of Oxford, UK",Kristy Spindler,Private,2023
172.217.9.227-10.42.0.42-443-34840-6,Female,19,98.73,3.62,Arts,"Harvard University, USA",Judy Hosler,Public,2023
10.42.0.211-72.247.70.190-40089-80-6,Male,22,86.09,3.23,Arts,"Harvard University, USA",Anna Woloszyn,Private,2023
192.229.173.173-10.42.0.42-80-48401-6,Male,22,82.85,3.72,Business,"Stanford University, USA",Heather Lewis,Public,2023
172.217.10.228-10.42.0.42-443-44262-6,Female,22,87.85,2.78,Engineering,"Stanford University, USA",Andrea Guererro,Private,2023
10.42.0.211-10.42.0.1-55066-53-17,Male,23,97.63,3.91,Engineering,"Harvard University, USA",Mia Bickers,Private,2023
10.42.0.151-98.139.180.180-39914-443-6,Female,20,95.39,2.27,Science,"University of Oxford, UK",Henry Parkman,Private,2023
10.42.0.1-10.42.0.42-53-53137-17,Female,22,86.21,2.2,Engineering,"Harvard University, USA",Mary Willis,Private,2023
10.42.0.211-104.254.66.16-50627-80-6,Male,18,87.46,3.32,Arts,"Massachusetts Institute of Technology (MIT), USA",Christopher Fowler,Private,2023
10.42.0.211-10.42.0.1-30005-53-17,Male,23,57.3,3.89,Arts,"University of Oxford, UK",Thomas Jacobs,Public,2023
180.149.136.194-10.42.0.211-80-41012-6,Female,21,55.14,3.62,Arts,"Harvard University, USA",Sean Colemen,Private,2023
10.42.0.211-10.42.0.1-23450-53-17,Female,18,78.55,2.15,Science,"Harvard University, USA",Theresa Samaniego,Public,2023
10.42.0.1-10.42.0.42-53-41476-17,Male,24,50.92,2.56,Arts,"Stanford University, USA",Adam Box,Private,2023
10.42.0.151-10.42.0.1-35521-53-17,Female,24,74.12,3.86,Engineering,"Stanford University, USA",Marlene Rodgers,Public,2023
10.42.0.151-10.42.0.1-12156-53-17,Male,18,60.52,2.51,Business,"Stanford University, USA",Valerie Woock,Private,2023
10.42.0.211-104.68.227.87-59091-443-6,Female,22,67.3,3.56,Business,"Stanford University, USA",Eva Payne,Public,2023
10.42.0.42-106.11.94.21-37280-443-6,Male,21,88.79,3.65,Education,"Stanford University, USA",Lawrence Doney,Private,2023
10.42.0.211-23.52.146.64-33392-443-6,Male,21,97.06,2.99,Engineering,"Harvard University, USA",Joseph Heninger,Private,2023
10.42.0.211-10.42.0.1-3106-53-17,Male,23,53.62,2.77,Arts,"Stanford University, USA",Wayne Williams,Public,2023
203.130.53.126-10.42.0.211-80-38370-6,Female,21,76.71,2.9,Business,"Stanford University, USA",Martha Dorsey,Private,2023
151.101.22.2-10.42.0.211-443-39518-6,Female,24,94.13,2.45,Engineering,"Harvard University, USA",Kelly Gearhart,Private,2023
182.22.67.89-10.42.0.42-443-34067-6,Male,20,54.13,3.78,Business,"Harvard University, USA",Warren Felder,Private,2023
10.42.0.42-106.39.169.66-57122-80-6,Female,22,91.23,2.9,Arts,"University of Oxford, UK",Robert Cole,Private,2023
202.77.129.150-10.42.0.211-443-42256-6,Male,21,67.89,3.76,Business,"Stanford University, USA",Edmund Raney,Public,2023
172.217.3.106-10.42.0.211-443-49808-6,Male,23,66.1,2.21,Education,"Massachusetts Institute of Technology (MIT), USA",Maureen Acuna,Private,2023
172.217.10.238-10.42.0.151-443-56648-6,Female,24,98.87,3.98,Education,"Harvard University, USA",David Muzzey,Private,2023
10.42.0.211-31.13.80.52-57253-443-6,Female,20,60.04,2.89,Business,"Harvard University, USA",Rodney Mccall,Private,2023
10.42.0.211-121.14.255.98-58513-80-6,Male,19,84.66,2.1,Engineering,"Harvard University, USA",Sherry Settles,Public,2023
172.217.12.195-10.42.0.151-443-52354-6,Female,19,91.07,2.08,Engineering,"Stanford University, USA",Irene Mull,Public,2023
10.42.0.211-74.6.105.9-33885-443-6,Female,20,52.06,3.49,Engineering,"Stanford University, USA",Julie Allen,Private,2023
10.42.0.1-10.42.0.42-53-27957-17,Male,24,83.52,3.32,Business,"Harvard University, USA",Eddie Cutler,Private,2023
10.42.0.42-72.30.3.43-51926-443-6,Male,23,97.58,3.6,Engineering,"Harvard University, USA",Mark Latta,Private,2023
10.42.0.151-23.208.35.210-45529-80-6,Female,20,56.21,2.21,Arts,"Harvard University, USA",Esther Bantz,Private,2023
10.42.0.211-10.42.0.1-37516-53-17,Male,22,94.81,2.07,Education,"University of Oxford, UK",Eric Barrera,Private,2023
172.217.10.234-10.42.0.151-443-44837-6,Male,22,79.74,3.02,Arts,"Stanford University, USA",Timothy Florens,Private,2023
172.217.3.110-10.42.0.151-443-48028-6,Female,19,80.83,2.78,Engineering,"Harvard University, USA",Martha Isham,Private,2023
10.42.0.211-54.243.187.254-38235-443-6,Male,21,80.65,2.92,Arts,"Stanford University, USA",Elliott Alvarado,Private,2023
10.42.0.211-98.139.180.149-38120-443-6,Male,23,64.94,3.98,Engineering,"University of Cambridge, UK",Jonathan Scott,Private,2023
10.42.0.211-36.51.254.232-38873-443-6,Female,19,96.76,3.94,Business,"Harvard University, USA",Anthony Maki,Public,2023
157.240.2.25-10.42.0.42-443-47857-6,Female,21,97.37,3.88,Arts,"Harvard University, USA",Janice Warner,Private,2023
172.217.11.35-10.42.0.151-443-39503-6,Male,21,81.27,3.57,Business,"Stanford University, USA",James Gordillo,Public,2023
10.42.0.42-106.11.94.1-50641-443-6,Male,22,89.17,2.71,Business,"Harvard University, USA",Bernard Beck,Private,2023
10.42.0.211-106.39.162.36-54697-80-6,Female,24,80.61,2.82,Science,"Stanford University, USA",Felix Shirley,Public,2023
10.42.0.151-10.42.0.1-51497-53-17,Female,18,74.22,3.1,Engineering,"Harvard University, USA",Linda Thurlow,Private,2023
172.217.10.42-10.42.0.42-443-59904-6,Female,24,83.04,3.66,Education,"Stanford University, USA",Willie Gee,Public,2023
10.42.0.211-104.208.31.113-46751-443-6,Female,18,77.65,2.14,Engineering,"Harvard University, USA",John Titus,Private,2023
8.0.6.4-8.6.0.1-0-0-0,Male,20,79.87,2.85,Education,"Harvard University, USA",Terrance Keith,Public,2023
10.42.0.211-31.13.71.1-37623-443-6,Female,22,89.19,2.17,Engineering,"Stanford University, USA",Shirley Williams,Public,2023
10.42.0.211-123.151.79.150-52386-80-6,Female,21,74.05,3.03,Business,"Harvard University, USA",Peter Dahlke,Private,2023
172.217.12.142-10.42.0.151-443-53464-6,Male,23,52.04,3.8,Arts,"Harvard University, USA",Anthony Smith,Public,2023
10.42.0.211-10.42.0.1-35441-53-17,Female,18,58.2,3.56,Arts,"Massachusetts Institute of Technology (MIT), USA",Jaime Sommers,Private,2023
10.42.0.211-98.139.199.204-56348-443-6,Male,24,71.93,2.46,Science,"University of Oxford, UK",Karen Andrews,Public,2023
157.240.18.35-10.42.0.151-443-42866-6,Female,21,86.24,3.95,Education,"Harvard University, USA",Debbie Valencia,Private,2023
10.42.0.151-47.93.160.174-45889-80-6,Female,18,79.66,3.33,Education,"Harvard University, USA",Ben Bowser,Public,2023
222.73.28.96-10.42.0.211-80-32865-6,Female,18,82.51,2.02,Education,"Harvard University, USA",Donna Powell,Private,2023
10.42.0.151-40.122.44.96-38120-443-6,Male,18,73.96,2.51,Business,"Massachusetts Institute of Technology (MIT), USA",Justin Fuqua,Private,2023
172.217.10.142-10.42.0.151-443-38477-6,Male,23,80.79,2.52,Education,"Massachusetts Institute of Technology (MIT), USA",Elsie Stephens,Public,2023
10.42.0.211-64.71.142.120-33207-443-6,Female,22,66.45,2.14,Arts,"Harvard University, USA",Christopher Finch,Public,2023
172.217.6.234-10.42.0.211-443-39479-6,Male,23,73.51,3.92,Business,"California Institute of Technology (Caltech), USA",Eugene Heck,Private,2023
10.42.0.211-31.13.80.52-33903-80-6,Male,19,87.21,2.96,Engineering,"Harvard University, USA",Terry Mcphail,Private,2023
10.42.0.211-36.51.254.232-34680-443-6,Male,21,93.59,3.79,Education,"Harvard University, USA",Aaron Delgado,Private,2023
173.222.142.156-10.42.0.211-443-32971-6,Male,22,71.68,2.64,Education,"Harvard University, USA",Donald Johnson,Public,2023
10.42.0.211-10.42.0.1-1407-53-17,Male,22,52.18,2.25,Engineering,"University of Oxford, UK",Sara Rodriguez,Private,2023
175.100.207.206-10.42.0.211-80-35488-6,Male,22,58.08,2.95,Education,"Harvard University, USA",Lianne Battle,Private,2023
10.42.0.211-106.11.93.16-57557-443-6,Female,24,51.04,2.23,Engineering,"Harvard University, USA",Kevin Wirtz,Private,2023
10.42.0.211-121.12.98.64-51600-80-6,Female,22,82.66,2.97,Business,"California Institute of Technology (Caltech), USA",Crystal White,Public,2023
180.149.136.194-10.42.0.151-80-56005-6,Male,23,66.62,3.84,Arts,"Imperial College London, UK",John Turner,Private,2023
172.217.10.226-10.42.0.211-443-40807-6,Female,22,77.12,3.04,Engineering,"University of Oxford, UK",Jim Erling,Public,2023
10.42.0.151-31.13.69.195-47278-443-6,Female,20,74.66,3.23,Science,"Harvard University, USA",David Howell,Private,2023
172.217.10.78-10.42.0.151-443-45549-6,Female,21,54.08,2.31,Engineering,"Harvard University, USA",Scott Fusco,Private,2023
10.42.0.42-58.63.236.212-50450-443-6,Female,22,70.16,2.09,Education,"Stanford University, USA",Samuel Lewis,Private,2023
10.42.0.211-23.206.162.129-53701-80-6,Male,21,61.03,2.22,Business,"Stanford University, USA",Ralph Holder,Public,2023
203.205.158.60-10.42.0.211-80-41161-6,Female,20,70.92,3.2,Business,"Harvard University, USA",Napoleon Vega,Public,2023
10.42.0.211-72.21.206.140-46342-443-6,Female,20,60.18,2.19,Engineering,"University of Oxford, UK",Louis Skinner,Public,2023
10.42.0.1-10.42.0.42-53-65047-17,Male,21,92.02,2.75,Arts,"Harvard University, USA",Lonnie Hartman,Public,2023
10.42.0.151-10.42.0.1-5499-53-17,Male,18,58.71,3.1,Science,"Massachusetts Institute of Technology (MIT), USA",Cassandra Pepin,Public,2023
10.42.0.151-121.12.98.63-48537-80-6,Female,19,98.04,2.78,Business,"University of Oxford, UK",Marsha Grollimund,Private,2023
192.229.173.173-10.42.0.211-80-46887-6,Female,24,70.8,2.33,Education,"Harvard University, USA",Kenneth Waddell,Public,2023
151.101.21.140-10.42.0.42-443-39443-6,Female,18,92.31,2.55,Education,"Harvard University, USA",Julie Martinez,Private,2023
10.42.0.211-10.42.0.1-20372-53-17,Female,18,81.44,3.86,Arts,"Stanford University, USA",Ty Scott,Private,2023
10.42.0.211-10.42.0.1-30051-53-17,Female,23,86.77,3.35,Business,"Stanford University, USA",Michael Griffies,Private,2023
10.42.0.211-111.1.17.152-33704-80-6,Female,24,88.39,2.99,Engineering,"Stanford University, USA",Patricia Strickland,Public,2023
10.42.0.151-121.14.255.49-52308-80-6,Male,24,75.24,2.03,Education,"Stanford University, USA",David Lewis,Private,2023
172.217.12.194-10.42.0.211-443-51536-6,Female,18,77.17,3.98,Arts,"Stanford University, USA",Randall Grant,Private,2023
10.42.0.211-95.213.11.133-56087-80-6,Female,22,75.7,3.34,Business,"Harvard University, USA",Gina Kitanik,Private,2023
10.42.0.151-10.42.0.1-48853-53-17,Male,23,79.4,2.63,Business,"Stanford University, USA",Philip Fernandez,Private,2023
172.217.11.14-10.42.0.151-443-43508-6,Male,23,51.47,3.76,Business,"Stanford University, USA",Velma Perry,Private,2023
10.42.0.1-10.42.0.42-53-61281-17,Male,20,69.78,2.52,Business,"Harvard University, USA",Lester Reid,Public,2023
10.42.0.151-10.42.0.1-39277-53-17,Male,24,80.31,3.09,Business,"Harvard University, USA",Reginald Metz,Public,2023
10.42.0.211-64.71.142.124-46179-80-6,Female,18,79.89,3.27,Education,"University of Oxford, UK",Jeffrey Beltran,Private,2023
10.42.0.211-119.6.229.36-42096-80-6,Female,20,89.65,2.44,Arts,"Stanford University, USA",Ruth Lachley,Public,2023
10.42.0.151-10.42.0.1-19798-53-17,Female,21,82.75,3.96,Business,"Massachusetts Institute of Technology (MIT), USA",John Doughty,Public,2023
10.42.0.211-36.110.213.49-59048-443-6,Female,19,99.61,3.5,Science,"Harvard University, USA",Brenda Arellano,Private,2023
10.42.0.211-10.42.0.1-47250-53-17,Female,23,64.19,3.12,Science,"Harvard University, USA",Arthur Spangler,Private,2023
10.42.0.211-10.42.0.1-18039-53-17,Female,21,67.96,2.36,Arts,"Harvard University, USA",Donald Dickey,Private,2023
198.105.244.11-10.42.0.151-80-37563-6,Male,21,69.19,2.11,Engineering,"Stanford University, USA",Weldon Jimenez,Public,2023
172.217.12.202-10.42.0.42-443-48615-6,Female,22,73.29,2.64,Engineering,"Stanford University, USA",Carl Parker,Private,2023
10.42.0.1-10.42.0.42-53-28240-17,Male,19,91.8,3.51,Engineering,"Harvard University, USA",Allison Seales,Public,2023
10.42.0.42-123.125.115.190-52315-80-6,Male,21,61.79,2.54,Science,"Harvard University, USA",Maryellen Berg,Private,2023
192.229.173.173-10.42.0.211-80-55562-6,Female,21,88.8,3.08,Engineering,"Harvard University, USA",Collin Escudero,Private,2023
10.42.0.211-10.42.0.1-35199-53-17,Male,19,70.27,3.46,Education,"University of Oxford, UK",Robert Robinson,Private,2023
